"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2900","Verification of login scenario for Flipkart website","chromium","2026-05-29","passed","2026-05-29"," @E2E Verification of E2E order placing functionality","Test09_Flipkart-E2E.spec.js","",""
"","7419","@E2E Login to Event register application - TestData","chromium","2026-05-29","passed","2026-05-29","","POMEventBooking-E2E.spec.js","",""
"","5937","Order creation","chromium","2026-05-29","passed","2026-05-29","Order id verification","Test08_LoginBypass.spec.js","",""
"","1167","Mocking the count with API - Network test","chromium","2026-05-29","passed","2026-05-29","Verification of session storange and inject into new browser context","Test11_WebAPI.spec.js","",""
"","9140","Second Page testcase","chromium","2026-05-29","passed","2026-05-29","","Test01_Login.spec.js","",""
"","111","Create order with API","chromium","2026-05-29","passed","2026-05-29","Order id verification","Test08_LoginBypass.spec.js","",""
"","10307","Verify the API testing - 01","chromium","2026-05-29","broken","2026-05-29","","Test07_ApiHandling.spec.js","",""
"","2138","Title verification","chromium","2026-05-29","passed","2026-05-29","Order id verification","Test08_LoginBypass.spec.js","",""
"","1647","Verification of UI screens - visual testing","chromium","2026-05-29","failed","2026-05-29","","Test13_ScreenshotValidation.spec.js","",""
"","6072","@E2E First playwright test","chromium","2026-05-29","passed","2026-05-29","","Test01_Login.spec.js","",""
"","8154","Positive flow for E2E eCommerce order placing","chromium","2026-05-29","passed","2026-05-29","","Test04_E2E-orderplacing.spec.js","",""
"","4571","Login to Event register application - DataFixture","chromium","2026-05-29","passed","2026-05-29","","POMEventBooking-E2E.spec.js","",""
"","4","parallel run verification","chromium","2026-05-29","failed","2026-05-29","","Test13_ScreenshotValidation.spec.js","",""
"","5090","Verification of title","chromium","2026-05-29","passed","2026-05-29","","Test02_Form-filling.spec.js","",""
"","3022","Verification of calendar functionality","chromium","2026-05-29","passed","2026-05-29","","Test05_CalendarHandling.spec.js","",""
"","2773","Verify the login bypass by storage details and fetching the count","chromium","2026-05-29","passed","2026-05-29","Verification of session storange and inject into new browser context","Test11_WebAPI.spec.js","",""
"","5807","Verification of handling the windows","chromium","2026-05-29","passed","2026-05-29","","Test06_WindowHandling.spec.js","",""
"","2730","Verification of file modify and upload functionality","chromium","2026-05-29","failed","2026-05-29","","Test14_FileUpload.spec.js","",""
"","1","Verify the API testing - 02","chromium","2026-05-29","skipped","2026-05-29","","Test07_ApiHandling.spec.js","",""
"","1","@E2E Login to Event register application","chromium","2026-05-29","skipped","2026-05-29","","Test10_Assignment-EventBooking.spec.js","",""
"","3484","Verification Network test by altering the non-existed order","chromium","2026-05-29","passed","2026-05-29","","Test12_NetworkTest.spec.js","",""
"","11651","UI Control verification","chromium","2026-05-29","passed","2026-05-29","","Test03_UI-Control.spec.js","",""
